user_id,age,gender,location,preferred_language,device_type,payment_method,auto_renew,plan_changes,subscription_start_date,subscription_end_date,months_using,total_revenue_inr,completion_rate,peak_hour_streaming,avg_genre_diversity,most_watched_genre
user_0051,69,Male,East Marymouth,Bengali,Tablet,Credit Card,True,0,2024-01-09,2026-01-28,25,26629.5,0.59,Night,4,Action
user_0052,42,Other,Lake Ashleybury,Tamil,Laptop,Net Banking,True,0,2022-07-31,2024-09-18,26,27694.68,0.6,Night,3,Action
user_0053,31,Female,Ronaldville,Bengali,Laptop,Net Banking,True,1,2024-02-28,2026-03-19,25,23966.55,0.72,Afternoon,4,Documentary
user_0054,41,Male,Lopezport,Telugu,Laptop,Debit Card,True,0,2023-02-26,2025-12-12,34,36216.12,0.77,Night,3,Drama
user_0055,49,Other,North Lauramouth,Tamil,Mobile,UPI,True,1,2022-05-22,2024-09-08,28,26842.54,0.66,Evening,3,Romance
user_0056,25,Female,East Carla,Tamil,Desktop,UPI,True,0,2023-08-31,2026-05-17,33,35150.94,0.74,Morning,2,Romance
user_0057,24,Female,Lake Logan,Tamil,Smart TV,Wallet,True,0,2024-05-10,2025-04-05,11,11716.98,0.53,Night,2,Romance
user_0058,28,Female,Brandiville,English,Laptop,UPI,False,1,2023-12-15,2024-01-14,1,958.66,0.55,Night,1,Action
user_0059,60,Female,North Melissa,Telugu,Desktop,Wallet,True,1,2022-06-13,2024-02-03,20,19173.24,0.51,Night,1,Action
user_0060,56,Female,Michaelchester,Spanish,Desktop,UPI,True,1,2023-08-05,2024-07-30,12,11503.94,0.79,Night,1,Horror
user_0061,22,Other,North Matthew,Bengali,Desktop,Net Banking,True,0,2024-02-28,2025-01-23,11,11716.98,0.99,Night,3,Romance
user_0062,37,Female,Brownville,English,Laptop,Debit Card,True,1,2022-12-17,2024-10-07,22,21090.56,0.95,Night,1,Horror
user_0063,62,Female,Pearsonstad,Hindi,Smart TV,Wallet,True,0,2022-06-05,2025-04-20,35,37281.3,0.93,Evening,1,Horror
user_0064,34,Female,Castilloland,Telugu,Laptop,Net Banking,True,0,2022-08-18,2023-04-15,8,8521.44,0.79,Evening,3,Documentary
user_0065,19,Male,Michaelmouth,Telugu,Laptop,Credit Card,True,0,2024-01-17,2024-10-13,9,9586.62,0.79,Night,1,Drama
user_0066,21,Female,Thompsonfort,English,Mobile,Wallet,True,0,2023-05-18,2023-08-16,3,3195.54,0.8,Evening,1,Romance
user_0067,61,Female,Williamview,Bengali,Laptop,Credit Card,False,0,2023-06-05,2023-12-02,6,6391.08,0.48,Afternoon,4,Comedy
user_0068,68,Male,West Lorifurt,Marathi,Mobile,Credit Card,True,0,2023-07-17,2025-09-04,26,27694.68,0.95,Night,4,Romance
user_0069,21,Female,Royside,Hindi,Laptop,UPI,True,0,2024-04-07,2026-08-25,29,30890.22,0.41,Evening,3,Romance
user_0070,34,Female,North Alexander,Telugu,Desktop,Wallet,True,0,2023-04-11,2023-05-11,1,1065.18,0.46,Evening,4,Horror
user_0071,38,Female,East Michelefort,Tamil,Laptop,Credit Card,True,1,2024-01-21,2026-07-09,30,28759.86,0.71,Evening,1,Comedy
user_0072,46,Female,Port Leah,Spanish,Tablet,Wallet,True,0,2022-08-28,2022-11-26,3,3195.54,0.48,Night,3,Comedy
user_0073,45,Female,West Kristiton,Bengali,Smart TV,Net Banking,True,1,2023-12-20,2026-06-07,30,28759.86,0.67,Night,1,Comedy
user_0074,40,Female,Montesside,Spanish,Tablet,Debit Card,True,0,2023-09-30,2025-09-19,24,25564.32,0.43,Evening,4,Thriller
user_0075,62,Female,Lake Ambermouth,Hindi,Mobile,Net Banking,True,0,2024-01-25,2024-11-20,10,10651.8,0.85,Night,1,Comedy
user_0076,25,Male,Larryberg,Spanish,Tablet,Net Banking,True,0,2023-11-10,2024-07-07,8,8521.44,0.77,Night,3,Action
user_0077,44,Male,Port Nathantown,Hindi,Tablet,Debit Card,True,0,2023-09-13,2024-08-08,11,11716.98,0.97,Evening,1,Drama
user_0078,39,Male,Port Kevinville,Tamil,Tablet,Credit Card,True,0,2022-06-08,2023-10-01,16,17042.88,0.93,Evening,1,Action
user_0079,60,Female,Ericmouth,English,Laptop,Net Banking,True,0,2023-01-06,2025-11-21,35,37281.3,0.64,Evening,3,Drama
user_0080,24,Male,Lake Kelly,Hindi,Desktop,Wallet,True,1,2024-02-09,2024-10-06,8,7669.3,0.81,Night,4,Action
user_0081,32,Male,Lake Andrew,Telugu,Mobile,Net Banking,False,1,2023-10-27,2024-02-24,4,3834.65,0.98,Night,3,Comedy
user_0082,67,Male,West Kimberly,Tamil,Laptop,Net Banking,True,0,2024-01-08,2025-01-02,12,12782.16,0.49,Evening,4,Action
user_0083,62,Female,Clarkton,English,Tablet,Net Banking,True,0,2022-06-03,2022-10-01,4,4260.72,0.74,Night,4,Thriller
user_0084,61,Male,Port Christieton,Hindi,Laptop,Debit Card,False,0,2022-10-31,2022-12-30,2,2130.36,0.4,Afternoon,4,Horror
user_0085,65,Male,North Jessica,Marathi,Tablet,Credit Card,False,0,2024-02-03,2025-01-28,12,12782.16,0.74,Evening,1,Documentary
user_0086,18,Male,Dawnfurt,Tamil,Smart TV,Debit Card,True,0,2022-12-10,2023-06-08,6,6391.08,0.53,Night,4,Thriller
user_0087,69,Female,Veronicahaven,Bengali,Mobile,Debit Card,True,0,2022-12-01,2024-07-23,20,21303.6,0.96,Evening,3,Drama
user_0088,68,Male,East Timothyville,Bengali,Tablet,Net Banking,True,0,2023-09-17,2026-08-02,35,37281.3,0.88,Evening,2,Comedy
user_0089,23,Female,Hawkinsstad,English,Tablet,Credit Card,True,0,2022-07-16,2023-03-13,8,8521.44,0.51,Night,2,Romance
user_0090,46,Female,Lake Christianchester,English,Mobile,Debit Card,True,0,2023-01-08,2023-09-05,8,8521.44,0.68,Night,4,Thriller
user_0091,38,Male,Lake Virginia,Tamil,Desktop,Credit Card,True,1,2023-11-07,2025-09-27,23,22049.23,0.48,Afternoon,2,Romance
user_0092,22,Female,New Jeffrey,Spanish,Laptop,UPI,True,2,2024-01-24,2026-03-14,26,24925.21,0.6,Night,2,Action
user_0093,57,Female,North Barbaraton,Hindi,Desktop,Debit Card,True,0,2024-04-02,2025-05-27,14,14912.52,0.77,Night,1,Documentary
user_0094,32,Female,East Brandonland,Telugu,Tablet,Net Banking,True,0,2023-04-24,2025-04-13,24,25564.32,0.85,Night,3,Action
user_0095,42,Male,West Connieberg,Hindi,Desktop,UPI,True,1,2023-12-28,2024-11-22,11,10545.28,0.57,Evening,1,Thriller
user_0096,45,Male,North Elizabeth,Tamil,Laptop,Debit Card,True,0,2024-01-13,2025-09-04,20,21303.6,0.92,Night,2,Action
user_0097,29,Male,North Jamesburgh,Spanish,Mobile,Wallet,True,0,2023-05-09,2025-07-27,27,28759.86,0.47,Morning,2,Action
user_0098,39,Female,South Nancyland,Bengali,Mobile,Wallet,False,1,2022-10-24,2023-04-22,6,5751.97,0.48,Evening,2,Action
user_0099,45,Female,Paulview,Spanish,Desktop,Debit Card,True,0,2023-06-08,2024-02-03,8,8521.44,0.53,Evening,1,Action
user_0100,66,Female,Nicholaschester,English,Tablet,Credit Card,True,0,2022-06-23,2025-04-08,34,36216.12,0.74,Night,4,Sci-Fi
user_0101,52,Male,Nicholsburgh,Telugu,Smart TV,Wallet,True,0,2022-11-08,2024-08-29,22,23433.96,0.52,Evening,2,Drama
user_0102,32,Male,Vaughnville,Bengali,Smart TV,UPI,True,0,2023-08-09,2025-11-26,28,29825.04,0.98,Evening,1,Sci-Fi
user_0103,44,Male,Port Grant,Tamil,Tablet,Credit Card,True,0,2023-04-09,2025-07-27,28,29825.04,0.74,Evening,4,Comedy
user_0104,55,Male,New Douglasstad,Tamil,Laptop,Wallet,False,1,2022-10-03,2024-03-26,18,17255.92,0.46,Night,4,Thriller
user_0105,40,Female,New Stephanie,Telugu,Mobile,UPI,True,0,2023-09-19,2024-11-12,14,14912.52,0.78,Evening,4,Documentary
user_0106,46,Male,Popeberg,Telugu,Laptop,Credit Card,True,1,2022-07-08,2024-07-27,25,23966.55,0.96,Evening,1,Horror
user_0107,54,Male,Thompsontown,Hindi,Desktop,UPI,True,0,2022-10-30,2025-07-16,33,35150.94,0.48,Night,2,Action
user_0108,61,Male,Lake Shelley,English,Laptop,Net Banking,True,0,2023-08-04,2025-07-24,24,25564.32,0.84,Evening,3,Horror
user_0109,51,Male,Joycestad,English,Tablet,UPI,True,0,2023-08-01,2025-10-19,27,28759.86,0.96,Night,4,Romance
user_0110,48,Female,Tyronetown,Tamil,Tablet,Net Banking,True,1,2023-10-14,2024-12-07,14,13421.27,0.68,Morning,3,Horror
user_0111,35,Female,Jessicahaven,Marathi,Laptop,Credit Card,True,1,2023-01-02,2023-05-02,4,3834.65,0.99,Evening,2,Romance
user_0112,23,Female,Crosbymouth,English,Desktop,Wallet,True,0,2023-02-05,2024-07-29,18,19173.24,0.68,Night,2,Horror
user_0113,67,Other,Dawnmouth,Hindi,Mobile,Credit Card,True,0,2022-09-16,2024-05-08,20,21303.6,0.51,Evening,2,Drama
user_0114,43,Female,East Joseph,Spanish,Tablet,Net Banking,True,1,2023-05-18,2025-02-06,21,20131.9,0.72,Evening,3,Documentary
user_0115,23,Female,Port Traci,English,Desktop,Debit Card,True,1,2024-04-30,2025-07-24,15,14379.93,0.64,Night,4,Sci-Fi
user_0116,46,Male,Susanhaven,Tamil,Desktop,Wallet,True,0,2022-07-18,2023-04-14,9,9586.62,0.76,Evening,1,Sci-Fi
user_0117,50,Female,Jasonton,Tamil,Mobile,Net Banking,True,0,2024-02-23,2026-12-09,34,36216.12,0.7,Evening,1,Action
user_0118,52,Female,Bellmouth,English,Mobile,Net Banking,True,0,2023-08-11,2026-05-27,34,36216.12,0.75,Night,1,Drama
user_0119,40,Female,West Michellechester,Tamil,Tablet,Credit Card,True,0,2023-08-26,2024-09-19,13,13847.34,0.46,Evening,1,Horror
user_0120,31,Female,Port Thomasshire,Hindi,Desktop,Wallet,True,1,2024-01-26,2026-07-14,30,28759.86,0.78,Evening,2,Horror
user_0121,64,Male,Hardychester,Hindi,Tablet,Wallet,True,0,2023-09-03,2026-05-20,33,35150.94,0.64,Night,2,Action
user_0122,40,Female,South Brooke,Hindi,Smart TV,UPI,True,0,2022-05-31,2024-03-21,22,23433.96,0.6,Evening,1,Sci-Fi
user_0123,36,Female,Rayfort,English,Tablet,Net Banking,True,0,2023-02-19,2024-04-14,14,14912.52,0.87,Evening,3,Comedy
user_0124,35,Male,West Samuelmouth,Telugu,Desktop,Wallet,True,1,2022-06-06,2024-01-27,20,19173.24,0.85,Afternoon,2,Drama
user_0125,64,Male,Port Thomasstad,Telugu,Laptop,Wallet,True,1,2023-03-21,2023-11-16,8,7669.3,0.57,Afternoon,1,Romance
user_0126,61,Male,Nortonville,Telugu,Smart TV,Wallet,True,1,2023-07-02,2024-05-27,11,10545.28,0.99,Evening,2,Action
user_0127,47,Female,East Ashleychester,Tamil,Tablet,Net Banking,True,1,2024-02-09,2024-05-09,3,2875.99,0.43,Evening,1,Romance
user_0128,47,Male,East Rachel,Hindi,Tablet,UPI,True,1,2023-11-07,2025-06-29,20,19173.24,0.66,Night,1,Drama
user_0129,48,Other,Cherylside,Spanish,Tablet,Credit Card,True,0,2023-02-05,2024-01-01,11,11716.98,0.81,Afternoon,4,Thriller
user_0130,58,Male,Johnsonborough,Hindi,Smart TV,UPI,True,0,2024-02-14,2024-06-13,4,4260.72,0.42,Night,3,Thriller
user_0131,44,Female,North Roy,English,Desktop,Wallet,True,0,2023-02-07,2025-09-24,32,34085.76,0.83,Morning,1,Romance
user_0132,22,Female,Port Erinshire,Tamil,Tablet,Wallet,False,1,2022-10-14,2025-01-01,27,25883.87,0.42,Night,4,Drama
user_0133,58,Female,Mooreview,English,Mobile,Net Banking,True,0,2023-09-15,2025-10-04,25,26629.5,0.4,Night,1,Thriller
user_0134,21,Male,North Matthew,English,Tablet,Net Banking,True,0,2023-10-22,2024-01-20,3,3195.54,0.91,Evening,3,Drama
user_0135,29,Other,Lake Jeffreystad,Telugu,Tablet,UPI,True,0,2023-07-09,2024-10-01,15,15977.7,0.64,Evening,3,Drama
user_0136,45,Male,Samanthaborough,Bengali,Smart TV,UPI,True,0,2023-05-27,2023-07-26,2,2130.36,0.75,Evening,4,Sci-Fi
user_0137,37,Female,Brianport,English,Desktop,Wallet,False,0,2022-06-09,2023-09-02,15,15977.7,0.64,Night,4,Comedy
user_0138,47,Other,Paulafurt,English,Smart TV,UPI,True,0,2023-07-20,2025-01-10,18,19173.24,0.89,Night,2,Action
user_0139,58,Female,South Meghan,Telugu,Desktop,Wallet,True,0,2023-04-02,2025-08-19,29,30890.22,0.72,Night,3,Thriller
user_0140,56,Female,Lake Christopherbury,Hindi,Mobile,Credit Card,True,0,2023-10-01,2024-03-29,6,6391.08,0.89,Morning,4,Drama
user_0141,27,Male,South Jessica,Marathi,Tablet,Credit Card,True,0,2023-02-20,2025-08-08,30,31955.4,0.75,Evening,4,Comedy
user_0142,26,Male,Hallmouth,Marathi,Smart TV,Debit Card,True,0,2022-12-25,2024-11-14,23,24499.14,0.48,Afternoon,3,Drama
user_0143,31,Male,East Donnaville,Spanish,Laptop,Credit Card,False,0,2023-07-28,2025-05-18,22,23433.96,0.56,Evening,1,Horror
user_0144,39,Male,North James,Bengali,Laptop,Debit Card,True,0,2024-05-07,2026-10-24,30,31955.4,0.63,Evening,1,Horror
user_0145,55,Female,East Aaron,Hindi,Desktop,Wallet,True,1,2024-04-12,2026-06-01,26,24925.21,0.84,Night,3,Comedy
user_0146,69,Male,Danielmouth,Hindi,Mobile,Credit Card,False,1,2024-02-19,2026-09-06,31,29718.52,0.4,Night,3,Comedy
user_0147,44,Male,Leeland,Bengali,Tablet,Debit Card,True,0,2023-08-31,2024-05-27,9,9586.62,0.69,Evening,2,Thriller
user_0148,50,Male,West Samuelton,Spanish,Laptop,Debit Card,True,0,2022-10-14,2023-08-10,10,10651.8,0.89,Morning,2,Romance
user_0149,59,Female,East Scotthaven,Spanish,Desktop,Wallet,True,0,2023-08-30,2024-05-26,9,9586.62,0.65,Night,1,Romance
user_0150,31,Female,Richardston,Spanish,Laptop,UPI,True,1,2023-08-11,2023-09-10,1,958.66,0.48,Night,4,Romance
user_0151,46,Male,South Rodney,Spanish,Desktop,UPI,True,0,2022-07-11,2024-12-27,30,31955.4,0.4,Night,4,Drama
user_0152,59,Female,Port James,Tamil,Smart TV,Wallet,True,2,2023-06-07,2026-02-21,33,31635.85,0.54,Evening,2,Comedy
user_0153,35,Female,Mooreport,Marathi,Smart TV,UPI,True,0,2023-11-30,2025-03-24,16,17042.88,0.9,Night,2,Drama
user_0154,20,Female,East Tony,Tamil,Smart TV,Credit Card,False,0,2022-07-21,2023-05-17,10,10651.8,0.77,Evening,2,Thriller
user_0155,25,Male,West Dylanbury,Telugu,Desktop,Wallet,True,0,2024-02-29,2026-08-17,30,31955.4,0.43,Evening,2,Drama
user_0156,52,Female,New Danielmouth,English,Smart TV,UPI,True,0,2022-12-30,2024-05-23,17,18108.06,0.5,Night,4,Comedy
user_0157,22,Female,Victoriaberg,Marathi,Laptop,Wallet,True,0,2023-08-25,2024-09-18,13,13847.34,0.98,Morning,1,Comedy
user_0158,20,Male,West Jennifer,Tamil,Laptop,Credit Card,True,0,2024-01-23,2025-11-13,22,23433.96,0.84,Night,4,Drama
user_0159,28,Male,Brooksview,Marathi,Mobile,Debit Card,True,0,2023-08-17,2024-10-10,14,14912.52,0.43,Evening,2,Documentary
user_0160,24,Female,Johnborough,Hindi,Laptop,Wallet,True,0,2024-02-06,2024-10-03,8,8521.44,0.92,Evening,4,Drama
user_0161,59,Male,West Levi,Tamil,Tablet,Wallet,True,0,2023-02-24,2023-08-23,6,6391.08,0.84,Evening,2,Sci-Fi
user_0162,42,Male,Lake Michael,Marathi,Desktop,Debit Card,True,0,2023-03-12,2025-06-29,28,29825.04,0.92,Evening,1,Thriller
user_0163,36,Male,Williston,Tamil,Mobile,Wallet,False,0,2022-10-27,2023-06-24,8,8521.44,0.74,Evening,1,Thriller
user_0164,31,Male,North Charlesland,Telugu,Laptop,Credit Card,True,0,2023-12-06,2024-09-01,9,9586.62,0.56,Evening,2,Comedy
user_0165,43,Male,New David,Marathi,Laptop,Net Banking,False,1,2023-10-21,2023-11-20,1,958.66,0.94,Evening,4,Romance
user_0166,32,Male,West Michaelbury,Bengali,Laptop,Wallet,True,0,2023-01-04,2024-06-27,18,19173.24,0.59,Evening,4,Drama
user_0167,53,Male,Jacobburgh,Spanish,Laptop,UPI,True,0,2022-06-13,2024-05-03,23,24499.14,0.85,Evening,3,Comedy
user_0168,47,Male,Brownfurt,Tamil,Tablet,Net Banking,True,0,2023-05-01,2024-04-25,12,12782.16,0.83,Night,4,Documentary
user_0169,25,Female,North Jacquelinefort,Bengali,Mobile,Debit Card,False,2,2023-10-25,2026-01-12,27,25883.87,0.79,Night,1,Thriller
user_0170,64,Male,Trevorbury,Bengali,Laptop,Credit Card,True,0,2023-04-25,2024-11-15,19,20238.42,0.91,Afternoon,3,Action
user_0171,62,Female,Pricemouth,Tamil,Laptop,Credit Card,True,0,2023-12-07,2025-07-29,20,21303.6,0.91,Evening,2,Horror
user_0172,67,Male,Donnaberg,Spanish,Mobile,Credit Card,True,1,2024-03-30,2026-07-18,28,26842.54,0.61,Evening,1,Action
user_0173,38,Male,Brendastad,Telugu,Tablet,Net Banking,True,2,2022-08-20,2022-12-18,4,3834.65,0.94,Evening,4,Romance
user_0174,22,Male,Marshallfort,Spanish,Smart TV,Wallet,False,0,2022-11-28,2024-12-17,25,26629.5,0.46,Evening,2,Drama
user_0175,44,Female,Richardmouth,Tamil,Tablet,Net Banking,True,0,2023-02-08,2023-09-06,7,7456.26,0.91,Night,4,Action
user_0176,68,Male,Lake Patriciastad,Spanish,Smart TV,UPI,False,2,2023-05-11,2025-04-30,24,23007.89,0.73,Night,3,Thriller
user_0177,53,Female,Lake Isaiah,Bengali,Smart TV,Debit Card,True,2,2023-10-11,2024-11-04,13,12462.61,0.46,Evening,4,Drama
user_0178,42,Female,Carrollfurt,Tamil,Smart TV,Net Banking,True,0,2023-07-05,2026-01-20,31,33020.58,0.9,Evening,1,Horror
user_0179,54,Male,Port Aaronview,Hindi,Tablet,Credit Card,True,0,2023-02-26,2024-11-17,21,22368.78,0.64,Night,2,Comedy
user_0180,40,Female,Port Jacob,English,Laptop,Debit Card,True,0,2023-07-27,2024-10-19,15,15977.7,0.52,Evening,3,Thriller
user_0181,34,Male,North Lisa,Spanish,Laptop,UPI,True,0,2023-09-23,2025-02-14,17,18108.06,0.96,Night,2,Thriller
user_0182,61,Female,Lake Leonard,Hindi,Smart TV,Wallet,True,0,2022-05-16,2023-08-09,15,15977.7,0.9,Evening,3,Comedy
user_0183,67,Male,South Jennifer,Bengali,Laptop,Debit Card,True,1,2023-12-26,2026-08-12,32,30677.18,0.64,Night,2,Comedy
user_0184,22,Male,North Johnathan,Marathi,Tablet,Credit Card,True,0,2023-10-10,2025-09-29,24,25564.32,0.82,Night,3,Action
user_0185,66,Female,Alanburgh,English,Tablet,Wallet,True,0,2022-06-15,2024-12-31,31,33020.58,0.63,Evening,4,Drama
user_0186,29,Female,Earlfort,Bengali,Tablet,Debit Card,True,0,2024-01-09,2026-02-27,26,27694.68,0.6,Evening,4,Action
user_0187,26,Female,West Stacymouth,Spanish,Laptop,Debit Card,True,0,2024-01-10,2025-08-02,19,20238.42,0.47,Evening,1,Comedy
user_0188,63,Female,Floresberg,Marathi,Desktop,Wallet,True,0,2023-10-22,2024-11-15,13,13847.34,0.54,Afternoon,1,Romance
user_0189,27,Female,Veronicatown,Marathi,Desktop,Wallet,True,0,2024-03-09,2026-08-26,30,31955.4,0.79,Evening,3,Romance
user_0190,30,Male,Lake Jamesmouth,Spanish,Tablet,Wallet,True,0,2023-11-20,2026-01-08,26,27694.68,0.6,Night,3,Romance
user_0191,57,Female,Foleyport,Telugu,Mobile,Net Banking,True,0,2024-01-05,2025-09-26,21,22368.78,0.68,Evening,1,Comedy
user_0192,62,Female,Lowetown,Hindi,Tablet,Net Banking,False,0,2022-12-26,2025-04-14,28,29825.04,0.91,Night,1,Horror
user_0193,54,Male,Port Gabriela,Tamil,Smart TV,Credit Card,True,0,2022-11-18,2024-01-12,14,14912.52,0.78,Evening,4,Romance
